"sF","treid","slice","X","Y","Z"
"V400","s01.asc",6,0.401130000000002,0.19979,5.9764
"V400","s01.asc",6,0.2074,0.0398399999999999,5.9645
"V400","s01.asc",6,0.292770000000001,0.36655,5.9545
"V400","s01.asc",6.1,0.0617000000000019,0.184290000000001,6.1384
"V400","s01.asc",6.1,0.398040000000002,0.19807,6.1025
"V400","s01.asc",6.1,0.202590000000001,0.0404800000000005,6.1275
"V400","s01.asc",6.1,0.230710000000002,0.355639999999999,6.0554
"V400","s01.asc",6.2,0.0548500000000018,0.2037,6.2479
"V400","s01.asc",6.2,0.388910000000003,0.174049999999999,6.1572
"V400","s01.asc",6.2,0.22118,0.0331100000000006,6.2326
"V400","s01.asc",6.2,0.19678,0.357709999999999,6.2072
"V400","s01.asc",6.3,0.0522100000000023,0.17399,6.34
"V400","s01.asc",6.3,0.382720000000003,0.16656,6.3308
"V400","s01.asc",6.3,0.207920000000001,0.0230599999999992,6.3369
"V400","s01.asc",6.3,0.222890000000003,0.341329999999999,6.2683
"V400","s01.asc",6.4,0.0453100000000006,0.16982,6.4419
"V400","s01.asc",6.4,0.377740000000003,0.14833,6.3504
"V400","s01.asc",6.4,0.194480000000002,0.0134699999999999,6.4433
"V400","s01.asc",6.4,0.219610000000003,0.331659999999999,6.3526
"V400","s01.asc",6.5,0.0396800000000006,0.16685,6.5463
"V400","s01.asc",6.5,0.366390000000003,0.167260000000001,6.4664
"V400","s01.asc",6.5,0.159570000000002,0.00844999999999985,6.5441
"V400","s01.asc",6.5,0.211930000000002,0.32075,6.4538
"V400","s01.asc",6.6,0.0350099999999998,0.16433,6.6251
"V400","s01.asc",6.6,0.360110000000002,0.15033,6.5593
"V400","s01.asc",6.6,0.176470000000002,0.00425000000000075,6.5811
"V400","s01.asc",6.6,0.209430000000001,0.31418,6.5513
"V400","s01.asc",6.7,0.0339000000000027,0.15935,6.7336
"V400","s01.asc",6.7,0.354950000000002,0.14536,6.6722
"V400","s01.asc",6.7,0.174290000000003,0.00539000000000023,6.6871
"V400","s01.asc",6.7,0.192300000000003,0.31095,6.7275
"V400","s01.asc",6.8,0.0294200000000018,0.157500000000001,6.8431
"V400","s01.asc",6.8,0.351030000000002,0.133789999999999,6.7566
"V400","s01.asc",6.8,0.204660000000001,0.00723999999999947,6.8495
"V400","s01.asc",6.8,0.189640000000001,0.31223,6.8246
