"sF","treid","slice","X","Y","Z"
"V500","s04.asc",6,NA,NA,NA
"V500","s04.asc",6,NA,NA,NA
"V500","s04.asc",6,NA,NA,NA
"V500","s04.asc",6,NA,NA,NA
"V500","s04.asc",6.5,NA,NA,NA
"V500","s04.asc",6.5,NA,NA,NA
"V500","s04.asc",6.5,NA,NA,NA
"V500","s04.asc",6.5,NA,NA,NA
"V500","s04.asc",7,NA,NA,NA
"V500","s04.asc",7,NA,NA,NA
"V500","s04.asc",7,NA,NA,NA
"V500","s04.asc",7,NA,NA,NA
"V500","s05.asc",0.5,0.0138800000000003,0.547989999999999,0.269549999999999
"V500","s05.asc",0.5,0.439830000000001,0.577400000000001,0.25099
"V500","s05.asc",0.5,0.185500000000001,0.380320000000001,0.34582
"V500","s05.asc",0.5,0.266750000000002,0.76886,0.25225
"V500","s05.asc",1,0.0108500000000014,0.5593,1.23545
"V500","s05.asc",1,0.419650000000001,0.577629999999999,0.771559999999999
"V500","s05.asc",1,0.199010000000001,0.36261,1.21564
"V500","s05.asc",1,0.241710000000001,0.747160000000001,0.759459999999999
"V500","s05.asc",1.5,0.0109099999999991,0.495519999999999,1.64719
"V500","s05.asc",1.5,0.408049999999999,0.573619999999998,1.25702
"V500","s05.asc",1.5,0.187889999999999,0.3384,1.74835
"V500","s05.asc",1.5,0.231819999999999,0.72542,1.2522
"V500","s05.asc",2,0.0135299999999994,0.491949999999999,2.01887
"V500","s05.asc",2,0.393720000000002,0.524349999999998,1.75674
"V500","s05.asc",2,0.199439999999999,0.312259999999998,2.20643
"V500","s05.asc",2,0.200130000000001,0.696079999999998,1.75458
"V500","s05.asc",2.5,0.0128400000000006,0.470769999999998,2.26749
"V500","s05.asc",2.5,0.39723,0.475200000000001,2.74671
"V500","s05.asc",2.5,0.187190000000001,0.279969999999999,2.72836
"V500","s05.asc",2.5,0.202819999999999,0.665150000000001,2.25093
"V500","s05.asc",3,0.0223699999999987,0.443079999999998,2.83757
"V500","s05.asc",3,0.40204,0.43272,3.17891
"V500","s05.asc",3,0.198409999999999,0.24344,3.24489
"V500","s05.asc",3,0.234079999999999,0.62961,2.75966
"V500","s05.asc",3.5,0.0295999999999985,0.36835,3.39462
"V500","s05.asc",3.5,0.415459999999999,0.395969999999998,3.73766
"V500","s05.asc",3.5,0.21942,0.202999999999999,3.74385
"V500","s05.asc",3.5,0.248159999999999,0.589949999999998,3.25474
"V500","s05.asc",4,0.0341500000000003,0.35267,3.765
"V500","s05.asc",4,0.422219999999999,0.347300000000001,4.14492
"V500","s05.asc",4,0.213260000000002,0.156320000000001,4.24634
"V500","s05.asc",4,0.247990000000001,0.547219999999999,3.75241
"V500","s05.asc",4.5,0.0354899999999994,0.346329999999998,4.35047
"V500","s05.asc",4.5,0.437570000000001,0.313459999999999,4.73631
"V500","s05.asc",4.5,0.205649999999999,0.115829999999999,4.72756
"V500","s05.asc",4.5,0.27488,0.497769999999999,4.25145
"V500","s05.asc",5,0.0675600000000003,0.308579999999999,4.753
"V500","s05.asc",5,0.46942,0.238299999999999,5.24061
"V500","s05.asc",5,0.267379999999999,0.0405499999999996,5.23605
"V500","s05.asc",5,0.272649999999999,0.728479999999998,5.24965
"V500","s05.asc",5.5,0.116,0.219049999999999,5.25758
"V500","s05.asc",5.5,0.479839999999999,0.207000000000001,5.52521
"V500","s05.asc",5.5,0.25235,0,5.44744
"V500","s05.asc",5.5,0.322030000000002,0.880879999999998,5.52913
"V500","s05.asc",6,NA,NA,NA
"V500","s05.asc",6,NA,NA,NA
"V500","s05.asc",6,NA,NA,NA
"V500","s05.asc",6,NA,NA,NA
"V500","s05.asc",6.5,NA,NA,NA
"V500","s05.asc",6.5,NA,NA,NA
"V500","s05.asc",6.5,NA,NA,NA
"V500","s05.asc",6.5,NA,NA,NA
"V500","s05.asc",7,NA,NA,NA
"V500","s05.asc",7,NA,NA,NA
"V500","s05.asc",7,NA,NA,NA
"V500","s05.asc",7,NA,NA,NA
"V500","s06.asc",0.5,0.00304000000000215,0.520410000000002,0.25268
"V500","s06.asc",0.5,0.500260000000001,0.52364,0.25803
"V500","s06.asc",0.5,0.291830000000001,0.325670000000002,0.25933
"V500","s06.asc",0.5,0.274620000000002,0.76754,0.25332
"V500","s06.asc",1,0.024910000000002,0.52477,0.752330000000001
"V500","s06.asc",1,0.49737,0.52336,1.24161
"V500","s06.asc",1,0.291830000000001,0.323160000000001,1.20231
"V500","s06.asc",1,0.281610000000001,0.753150000000002,0.75634
"V500","s06.asc",1.5,0.044590000000003,0.478920000000002,1.26077
"V500","s06.asc",1.5,0.526560000000003,0.520240000000001,1.74835
"V500","s06.asc",1.5,0.346110000000003,0.301740000000002,1.74965
"V500","s06.asc",1.5,0.324900000000003,0.736129999999999,1.25799
"V500","s06.asc",2,0.0931400000000018,0.471900000000002,1.75172
"V500","s06.asc",2,0.55714,0.477130000000002,2.08148
"V500","s06.asc",2,0.354920000000003,0.273240000000001,2.24062
"V500","s06.asc",2,0.329170000000001,0.70478,1.7648
"V500","s06.asc",2.5,0.13551,0.461510000000001,2.25188
"V500","s06.asc",2.5,0.593870000000003,0.454540000000001,2.72118
"V500","s06.asc",2.5,0.347450000000002,0.23865,2.73241
"V500","s06.asc",2.5,0.349220000000003,0.673730000000003,2.25471
"V500","s06.asc",3,0.174250000000001,0.44228,2.75873
"V500","s06.asc",3,0.62011,0.43394,3.2499
"V500","s06.asc",3,0.408190000000001,0.209680000000002,3.24764
"V500","s06.asc",3,0.41994,0.63804,2.75479
"V500","s06.asc",3.5,0.212820000000001,0.415600000000001,3.25158
"V500","s06.asc",3.5,0.646330000000003,0.38702,3.74928
"V500","s06.asc",3.5,0.42764,0.173650000000002,3.74616
"V500","s06.asc",3.5,0.46922,0.602360000000001,3.25292
"V500","s06.asc",4,0.239510000000003,0.35661,3.75957
"V500","s06.asc",4,0.660200000000003,0.343990000000002,4.24912
"V500","s06.asc",4,0.464550000000003,0.124010000000002,4.24408
"V500","s06.asc",4,0.48028,0.558340000000001,3.75911
"V500","s06.asc",4.5,0.257990000000003,0.30977,4.31708
"V500","s06.asc",4.5,0.684700000000003,0.252660000000002,4.74884
"V500","s06.asc",4.5,0.483630000000002,0.0658100000000026,4.73688
"V500","s06.asc",4.5,0.492380000000001,0.51484,4.26154
"V500","s06.asc",5,0.282170000000001,0.26726,4.75074
"V500","s06.asc",5,0.719290000000001,0.207630000000002,5.24968
"V500","s06.asc",5,0.526730000000001,0.0219000000000023,5.24252
"V500","s06.asc",5,0.507450000000002,0.451790000000003,4.76319
"V500","s06.asc",5.5,0.322030000000002,0.19022,5.28824
"V500","s06.asc",5.5,0.741430000000001,0.187990000000003,5.49247
"V500","s06.asc",5.5,0.514000000000003,0,5.48402
"V500","s06.asc",5.5,0.518190000000001,0.399650000000001,5.2751
"V500","s06.asc",6,NA,NA,NA
"V500","s06.asc",6,NA,NA,NA
"V500","s06.asc",6,NA,NA,NA
"V500","s06.asc",6,NA,NA,NA
"V500","s06.asc",6.5,NA,NA,NA
"V500","s06.asc",6.5,NA,NA,NA
"V500","s06.asc",6.5,NA,NA,NA
"V500","s06.asc",6.5,NA,NA,NA
"V500","s06.asc",7,NA,NA,NA
"V500","s06.asc",7,NA,NA,NA
"V500","s06.asc",7,NA,NA,NA
"V500","s06.asc",7,NA,NA,NA
"V500","s07.asc",0.5,0.0352499999999978,0.670200000000001,0.336790000000001
"V500","s07.asc",0.5,0.49578,0.66039,0.26267
"V500","s07.asc",0.5,0.230349999999998,0.432030000000001,0.73091
"V500","s07.asc",0.5,0.264689999999998,0.883559999999999,0.25512
"V500","s07.asc",1,0.0398599999999973,0.611219999999999,0.78989
"V500","s07.asc",1,0.475489999999997,0.661049999999999,1.18522
"V500","s07.asc",1,0.241699999999998,0.390270000000001,1.24831
"V500","s07.asc",1,0.263119999999997,0.831910000000001,0.752979999999999
"V500","s07.asc",1.5,0.0353299999999983,0.586860000000001,1.55327
"V500","s07.asc",1.5,0.470199999999998,0.65213,1.25201
"V500","s07.asc",1.5,0.265779999999999,0.355309999999999,1.73723
"V500","s07.asc",1.5,0.25132,0.778189999999999,1.25296
"V500","s07.asc",2,0.0505299999999984,0.527909999999999,1.79174
"V500","s07.asc",2,0.47137,0.52844,2.23564
"V500","s07.asc",2,0.243359999999999,0.321000000000002,2.23596
"V500","s07.asc",2,0.262909999999998,0.740169999999999,1.75889
"V500","s07.asc",2.5,0.044439999999998,0.516069999999999,2.56017
"V500","s07.asc",2.5,0.481529999999999,0.48019,2.73589
"V500","s07.asc",2.5,0.257169999999999,0.27966,2.73694
"V500","s07.asc",2.5,0.2288,0.695160000000001,2.25452
"V500","s07.asc",3,0.0707399999999971,0.457049999999999,2.75374
"V500","s07.asc",3,0.481869999999997,0.478860000000001,2.82737
"V500","s07.asc",3,0.282699999999998,0.233720000000002,3.24798
"V500","s07.asc",3,0.28698,0.651869999999999,2.76321
"V500","s07.asc",3.5,0.0819399999999995,0.387329999999999,3.28645
"V500","s07.asc",3.5,0.49747,0.405519999999999,3.73826
"V500","s07.asc",3.5,0.282299999999999,0.194289999999999,3.73248
"V500","s07.asc",3.5,0.293429999999997,0.602460000000001,3.25954
"V500","s07.asc",4,0.0985999999999976,0.364699999999999,3.75192
"V500","s07.asc",4,0.519359999999999,0.335039999999999,4.23948
"V500","s07.asc",4,0.317359999999997,0.13204,4.24337
"V500","s07.asc",4,0.294789999999999,0.560659999999999,3.7506
"V500","s07.asc",4.5,0.123829999999998,0.304110000000001,4.26173
"V500","s07.asc",4.5,0.536349999999999,0.26474,4.69989
"V500","s07.asc",4.5,0.342049999999997,0.0731199999999994,4.74607
"V500","s07.asc",4.5,0.352839999999997,0.498999999999999,4.25465
"V500","s07.asc",5,0.138009999999998,0.265360000000001,4.76111
"V500","s07.asc",5,0.559809999999999,0.196459999999998,5.2491
"V500","s07.asc",5,0.363519999999998,0.0242000000000004,5.24351
"V500","s07.asc",5,0.334259999999997,0.440390000000001,4.76046
"V500","s07.asc",5.5,0.149889999999999,0.194299999999998,5.38184
"V500","s07.asc",5.5,0.586319999999997,0.205469999999998,5.46869
"V500","s07.asc",5.5,0.359569999999998,0,5.48534
"V500","s07.asc",5.5,0.369999999999997,0.39292,5.25736
"V500","s07.asc",6,NA,NA,NA
